
1723	1708	1097	898	764	762	759	738	798	746	905	905	977	1013	906	857	871	741	742	691	695	652	539	494	485	424	410	447	482	463	453	411	412	430	461	465	493	554	570	551	574	558	582	610	688	811	923	1134	1672	1684	
1582	1679	1044	906	748	684	754	787	769	900	957	1006	1006	985	983	931	835	725	687	677	730	632	554	482	443	366	383	416	433	487	452	460	406	428	441	485	527	560	598	610	554	593	621	627	695	796	901	1090	1689	1673	
1633	1627	1061	895	791	707	730	775	856	1029	1002	1047	1048	1029	964	898	858	724	722	689	658	587	608	515	434	370	383	391	439	432	467	480	451	426	392	485	553	608	595	596	526	517	566	648	715	794	962	1159	1665	1649	
1642	1660	1108	847	755	703	650	788	947	1032	1076	1050	1113	1090	1046	915	844	725	598	688	632	598	573	465	444	363	362	390	427	452	441	452	458	415	432	476	553	567	614	582	575	557	584	642	700	825	968	1175	1737	1672	
1679	1663	1066	898	791	702	606	875	917	996	1133	1094	1007	1036	971	930	843	801	638	565	627	614	513	444	441	447	424	379	407	384	435	508	493	494	426	501	511	554	666	590	539	532	611	619	676	761	908	1130	1710	1641	
1634	1653	1062	903	826	679	690	898	950	1074	1075	1067	1090	1087	950	917	893	778	663	533	497	572	495	447	450	440	391	394	362	371	422	412	473	497	476	446	508	593	669	642	535	557	577	583	738	761	904	1122	1678	1646	
1676	1632	1070	922	801	665	784	782	991	1089	1094	1085	1113	1045	1020	946	890	825	680	504	503	448	412	454	429	416	443	388	390	400	416	421	506	515	496	472	509	599	669	593	537	588	585	629	689	788	935	1127	1630	1737	
1674	1736	1074	857	762	822	808	810	965	1103	1073	1111	1036	1060	990	1008	927	836	757	530	471	424	418	444	418	438	451	434	424	407	406	406	496	481	445	450	533	639	611	596	571	580	616	596	696	815	891	1131	1661	1676	
1699	1620	1138	865	744	829	843	828	813	966	1051	1139	1139	1039	1014	997	878	776	769	589	434	376	373	426	445	405	484	492	482	376	402	391	481	510	492	497	578	615	623	553	550	553	603	639	729	790	890	1164	1701	1707	
1603	1594	1110	876	855	893	890	941	837	916	1044	1014	1038	1047	996	969	866	839	704	586	497	399	396	422	429	437	472	448	488	439	381	422	445	488	488	570	556	673	590	553	572	527	593	600	746	753	949	1181	1650	1727	
1693	1725	995	889	884	906	911	905	835	809	936	946	1053	986	1024	928	845	788	706	627	478	440	395	389	395	472	463	461	481	510	470	407	381	477	478	512	577	631	577	637	536	571	584	675	699	806	912	1164	1756	1660	
1658	1666	1022	882	1008	944	893	964	891	829	832	963	977	1018	956	934	804	826	638	525	521	423	399	370	383	407	399	451	474	452	492	439	418	419	501	521	577	555	633	583	547	582	612	651	745	808	919	1095	1664	1721	
1679	1620	1041	965	996	992	969	881	856	824	800	884	983	918	913	925	852	856	689	559	529	483	425	394	427	347	403	455	479	493	452	429	440	472	507	514	549	635	680	565	583	570	601	655	682	765	924	1177	1768	1759	
